subhalo_id,grnr,halo_r200_kpc,mass_gas_1e10msun_h,mass_stars_1e10msun_h,pos_x_ckpc_h,pos_y_ckpc_h,pos_z_ckpc_h,halfmassrad_gas_ckpc_h,bcg_pos_x,bcg_pos_y,bcg_pos_z,cutout_url,sfr
487,0,2198.3,0.002383,0.807402,173655.0,265814.0,449574.0,20.08,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/487/cutout.hdf5,0.0
489,0,2198.3,0.366202,0.150434,175961.0,268320.0,449736.0,7.586,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/489/cutout.hdf5,0.277
491,0,2198.3,0.217485,0.059765,175115.0,263938.0,453341.0,3.205,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/491/cutout.hdf5,0.401
493,0,2198.3,0.742578,0.467234,174756.0,267358.0,449160.0,6.959,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/493/cutout.hdf5,0.8298
497,0,2198.3,0.64921,0.300383,173885.0,259353.0,453684.0,7.596,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/497/cutout.hdf5,1.223
509,0,2198.3,0.122323,0.212514,176494.0,267574.0,450527.0,4.403,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/509/cutout.hdf5,0.0913
510,0,2198.3,0.12525,0.342343,175384.0,264460.0,452689.0,2.653,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/510/cutout.hdf5,0.2694
515,0,2198.3,0.366604,0.05434,173999.0,267807.0,449433.0,7.407,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/515/cutout.hdf5,0.2172
523,0,2198.3,0.029151,0.216321,175580.0,262670.0,454804.0,1.786,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/523/cutout.hdf5,0.0165
527,0,2198.3,0.284489,0.070379,173745.0,267467.0,449659.0,6.878,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/527/cutout.hdf5,0.1802
528,0,2198.3,0.001739,0.46818,174834.0,265169.0,451729.0,38.324,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/528/cutout.hdf5,0.0024
541,0,2198.3,0.337633,0.861346,175664.0,266928.0,449261.0,8.144,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/541/cutout.hdf5,0.1172
542,0,2198.3,0.141155,0.870663,172398.0,258411.0,454773.0,4.403,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/542/cutout.hdf5,0.1451
560,0,2198.3,0.30247,0.153409,175368.0,260181.0,454839.0,5.168,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/560/cutout.hdf5,0.2264
565,0,2198.3,0.618399,0.074922,174321.0,268359.0,449727.0,13.563,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/565/cutout.hdf5,0.1345
566,0,2198.3,0.013577,0.042084,175718.0,260713.0,455581.0,3.647,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/566/cutout.hdf5,0.0
569,0,2198.3,0.441949,0.066373,174738.0,258587.0,452616.0,9.995,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/569/cutout.hdf5,0.1124
570,0,2198.3,0.128453,0.531116,176052.0,267464.0,449292.0,5.924,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/570/cutout.hdf5,0.1306
576,0,2198.3,0.077664,0.027754,176291.0,262266.0,452050.0,3.758,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/576/cutout.hdf5,0.0284
601,0,2198.3,0.137456,0.432972,174966.0,261105.0,455691.0,2.579,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/601/cutout.hdf5,0.3119
612,0,2198.3,0.103623,0.113717,173857.0,265580.0,451314.0,11.851,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/612/cutout.hdf5,0.0128
613,0,2198.3,0.08736,0.054219,174126.0,261930.0,452516.0,3.082,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/613/cutout.hdf5,0.0647
625,0,2198.3,0.259499,0.14458,174182.0,261893.0,455752.0,9.605,175292.0,265235.0,451367.0,http://www.tng-project.org/api/TNG-Cluster/snapshots/99/subhalos/625/cutout.hdf5,0.0825
